Student ID,Midsem exam,Practical assignment,Theory assignment,Final exam,Total
00105401S,11,20,14,31,76
08412227X,12,15,15,26,68
09906134N,17,,10,,27
100036533,6,14,10,,30
100077075,11,20,16,23,70
100082562,18,18,12,29,77
100098649,6,,6,,12
100101839,5,,,16,21
110003398,8,,,,8
110008664,13,,,13,26
110017326,5,9,11,18,43
110034584,12,15,15,24,66
110035851,,11,11,16,38
110039483,,,,,
110041717,12,9,12,27,60
110044075,6,17,12,21,56
110051584,13,14,11,24,62
110059409,10,20,16,33,79
110059411,18,19,14,39,90
110059749,3,17,13,11,44
110061073,20,20,20,38,98
110063195,3,,,,3
110065680,12,19,17,25,73
110066080,4,18,13,10,45
110067324,,17,,,17
110068840,10,14,10,23,57
110074773,7,11,9,21,48
110078942,,,,,
110079231,0,,,,0
110081685,6,17,13,28,64
110082439,9,13,12,20,54
110082890,10,18,15,16,59
110085102,5,16,9,14,44
110091840,9,17,7,25,58
110093186,8,10,16,21,55
110093292,8,9,13,14,44
110093439,2,,,,2
110093464,6,17,11,25,59
110094142,14,17,17,31,79
110095602,6,18,10,19,53
110095832,3,,,,3
110097227,11,16,15,27,69
110099710,4,17,9,7,37
110105677,9,16,11,26,62
110106958,11,18,11,21,61
110120677,9,18,9,37,73
110124353,17,20,16,36,89
110128540,19,20,16,37,92
